,accuracy/valid,accuracy/test,accuracy/full,data,validation_loss,validation_data,model,mode,template_type
44,0.5,0.454,0.4581818181818182,google,242.073007318038,semeval2012,roberta-large,average_no_mask,./relbert_output/prompt_files/roberta_d932/prompt.json
45,0.2914572864321608,0.3285158421345192,0.3248248248248248,bats,243.3983262460443,semeval2012,roberta-large,average_no_mask,./relbert_output/prompt_files/roberta_d933/prompt.json
46,0.3243243243243243,0.2759643916913946,0.2807486631016043,sat,243.3983262460443,semeval2012,roberta-large,average_no_mask,./relbert_output/prompt_files/roberta_d933/prompt.json
47,0.2083333333333333,0.2982456140350877,0.2896825396825397,u2,243.3983262460443,semeval2012,roberta-large,average_no_mask,./relbert_output/prompt_files/roberta_d933/prompt.json
48,0.2708333333333333,0.3356481481481481,0.3291666666666666,u4,243.3983262460443,semeval2012,roberta-large,average_no_mask,./relbert_output/prompt_files/roberta_d933/prompt.json
49,0.28,0.35,0.3436363636363636,google,243.3983262460443,semeval2012,roberta-large,average_no_mask,./relbert_output/prompt_files/roberta_d933/prompt.json
50,0.3266331658291457,0.3324068927181767,0.3318318318318318,bats,239.5839472903481,semeval2012,roberta-large,average_no_mask,./relbert_output/prompt_files/roberta_d822/prompt.json
51,0.3513513513513513,0.3264094955489614,0.3288770053475935,sat,239.5839472903481,semeval2012,roberta-large,average_no_mask,./relbert_output/prompt_files/roberta_d822/prompt.json
52,0.25,0.337719298245614,0.3293650793650793,u2,239.5839472903481,semeval2012,roberta-large,average_no_mask,./relbert_output/prompt_files/roberta_d822/prompt.json
53,0.2708333333333333,0.3009259259259259,0.2979166666666666,u4,239.5839472903481,semeval2012,roberta-large,average_no_mask,./relbert_output/prompt_files/roberta_d822/prompt.json
54,0.32,0.386,0.38,google,239.5839472903481,semeval2012,roberta-large,average_no_mask,./relbert_output/prompt_files/roberta_d822/prompt.json
55,0.3115577889447236,0.3790994997220678,0.3723723723723723,bats,253.5917597903481,semeval2012,roberta-large,average_no_mask,./relbert_output/prompt_files/roberta_d923/prompt.json
56,0.2702702702702703,0.3086053412462908,0.3048128342245989,sat,253.5917597903481,semeval2012,roberta-large,average_no_mask,./relbert_output/prompt_files/roberta_d923/prompt.json
57,0.2916666666666667,0.2807017543859649,0.2817460317460317,u2,253.5917597903481,semeval2012,roberta-large,average_no_mask,./relbert_output/prompt_files/roberta_d923/prompt.json
58,0.25,0.3356481481481481,0.3270833333333333,u4,253.5917597903481,semeval2012,roberta-large,average_no_mask,./relbert_output/prompt_files/roberta_d923/prompt.json
59,0.36,0.452,0.4436363636363636,google,253.5917597903481,semeval2012,roberta-large,average_no_mask,./relbert_output/prompt_files/roberta_d923/prompt.json
60,0.2010050251256281,0.2695942190105614,0.2627627627627628,bats,333.8113503757912,semeval2012,roberta-large,average_no_mask,./relbert_output/prompt_files/roberta_c832/prompt.json
61,0.1351351351351351,0.2908011869436201,0.2754010695187165,sat,333.8113503757912,semeval2012,roberta-large,average_no_mask,./relbert_output/prompt_files/roberta_c832/prompt.json
62,0.25,0.3245614035087719,0.3174603174603174,u2,333.8113503757912,semeval2012,roberta-large,average_no_mask,./relbert_output/prompt_files/roberta_c832/prompt.json
63,0.25,0.2939814814814814,0.2895833333333333,u4,333.8113503757912,semeval2012,roberta-large,average_no_mask,./relbert_output/prompt_files/roberta_c832/prompt.json
64,0.28,0.252,0.2545454545454545,google,333.8113503757912,semeval2012,roberta-large,average_no_mask,./relbert_output/prompt_files/roberta_c832/prompt.json
65,0.2613065326633166,0.2668148971650917,0.2662662662662662,bats,347.2980987935127,semeval2012,roberta-large,average_no_mask,./relbert_output/prompt_files/roberta_c922/prompt.json
66,0.2432432432432432,0.258160237388724,0.2566844919786096,sat,347.2980987935127,semeval2012,roberta-large,average_no_mask,./relbert_output/prompt_files/roberta_c922/prompt.json
67,0.25,0.293859649122807,0.2896825396825397,u2,347.2980987935127,semeval2012,roberta-large,average_no_mask,./relbert_output/prompt_files/roberta_c922/prompt.json
68,0.2916666666666667,0.2731481481481481,0.275,u4,347.2980987935127,semeval2012,roberta-large,average_no_mask,./relbert_output/prompt_files/roberta_c922/prompt.json
69,0.24,0.304,0.2981818181818181,google,347.2980987935127,semeval2012,roberta-large,average_no_mask,./relbert_output/prompt_files/roberta_c922/prompt.json
70,0.2160804020100502,0.2757087270705948,0.2697697697697698,bats,341.9915694224684,semeval2012,roberta-large,average_no_mask,./relbert_output/prompt_files/roberta_c833/prompt.json
71,0.2162162162162162,0.2967359050445103,0.2887700534759358,sat,341.9915694224684,semeval2012,roberta-large,average_no_mask,./relbert_output/prompt_files/roberta_c833/prompt.json
72,0.2916666666666667,0.2412280701754386,0.246031746031746,u2,341.9915694224684,semeval2012,roberta-large,average_no_mask,./relbert_output/prompt_files/roberta_c833/prompt.json
73,0.25,0.2337962962962963,0.2354166666666666,u4,341.9915694224684,semeval2012,roberta-large,average_no_mask,./relbert_output/prompt_files/roberta_c833/prompt.json
74,0.22,0.282,0.2763636363636363,google,341.9915694224684,semeval2012,roberta-large,average_no_mask,./relbert_output/prompt_files/roberta_c833/prompt.json
75,0.2311557788944723,0.2662590327959978,0.2627627627627628,bats,354.12595183939874,semeval2012,roberta-large,average_no_mask,./relbert_output/prompt_files/roberta_c823/prompt.json
76,0.2162162162162162,0.2551928783382789,0.2513368983957219,sat,354.12595183939874,semeval2012,roberta-large,average_no_mask,./relbert_output/prompt_files/roberta_c823/prompt.json
77,0.2083333333333333,0.2763157894736842,0.2698412698412698,u2,354.12595183939874,semeval2012,roberta-large,average_no_mask,./relbert_output/prompt_files/roberta_c823/prompt.json
78,0.2708333333333333,0.2731481481481481,0.2729166666666666,u4,354.12595183939874,semeval2012,roberta-large,average_no_mask,./relbert_output/prompt_files/roberta_c823/prompt.json
79,0.24,0.306,0.3,google,354.12595183939874,semeval2012,roberta-large,average_no_mask,./relbert_output/prompt_files/roberta_c823/prompt.json
80,0.2964824120603015,0.2968315730961645,0.2967967967967967,bats,366.02792474287975,semeval2012,roberta-large,average_no_mask,./relbert_output/prompt_files/roberta_c932/prompt.json
81,0.2702702702702703,0.2195845697329377,0.2245989304812834,sat,366.02792474287975,semeval2012,roberta-large,average_no_mask,./relbert_output/prompt_files/roberta_c932/prompt.json
82,0.2083333333333333,0.3026315789473684,0.2936507936507936,u2,366.02792474287975,semeval2012,roberta-large,average_no_mask,./relbert_output/prompt_files/roberta_c932/prompt.json
83,0.3125,0.2916666666666667,0.29375,u4,366.02792474287975,semeval2012,roberta-large,average_no_mask,./relbert_output/prompt_files/roberta_c932/prompt.json
84,0.32,0.302,0.3036363636363636,google,366.02792474287975,semeval2012,roberta-large,average_no_mask,./relbert_output/prompt_files/roberta_c932/prompt.json
85,0.2763819095477386,0.2679266259032796,0.2687687687687687,bats,329.86043809335445,semeval2012,roberta-large,average_no_mask,./relbert_output/prompt_files/roberta_c933/prompt.json
86,0.2432432432432432,0.2670623145400593,0.2647058823529412,sat,329.86043809335445,semeval2012,roberta-large,average_no_mask,./relbert_output/prompt_files/roberta_c933/prompt.json
87,0.25,0.2719298245614035,0.2698412698412698,u2,329.86043809335445,semeval2012,roberta-large,average_no_mask,./relbert_output/prompt_files/roberta_c933/prompt.json
88,0.25,0.2638888888888889,0.2625,u4,329.86043809335445,semeval2012,roberta-large,average_no_mask,./relbert_output/prompt_files/roberta_c933/prompt.json
89,0.22,0.268,0.2636363636363636,google,329.86043809335445,semeval2012,roberta-large,average_no_mask,./relbert_output/prompt_files/roberta_c933/prompt.json
90,0.2462311557788944,0.2718176764869371,0.2692692692692692,bats,337.5979034810127,semeval2012,roberta-large,average_no_mask,./relbert_output/prompt_files/roberta_c822/prompt.json
91,0.2432432432432432,0.2789317507418398,0.2754010695187166,sat,337.5979034810127,semeval2012,roberta-large,average_no_mask,./relbert_output/prompt_files/roberta_c822/prompt.json
92,0.2083333333333333,0.2675438596491228,0.2619047619047619,u2,337.5979034810127,semeval2012,roberta-large,average_no_mask,./relbert_output/prompt_files/roberta_c822/prompt.json
93,0.2916666666666667,0.2592592592592592,0.2625,u4,337.5979034810127,semeval2012,roberta-large,average_no_mask,./relbert_output/prompt_files/roberta_c822/prompt.json
94,0.28,0.272,0.2727272727272727,google,337.5979034810127,semeval2012,roberta-large,average_no_mask,./relbert_output/prompt_files/roberta_c822/prompt.json
95,0.23115577889447236,0.28237909949972206,0.2772772772772773,bats,344.8817741297468,semeval2012,roberta-large,average_no_mask,./relbert_output/prompt_files/roberta_c923/prompt.json
96,0.21621621621621623,0.24925816023738873,0.24598930481283424,sat,344.8817741297468,semeval2012,roberta-large,average_no_mask,./relbert_output/prompt_files/roberta_c923/prompt.json
