,model,label_size,data,accuracy/test,f1_macro/test,f1_micro/test,p_macro/test,p_micro/test,r_macro/test,r_micro/test,data_size/test,accuracy/val,f1_macro/val,f1_micro/val,p_macro/val,p_micro/val,r_macro/val,r_micro/val,data_size/val
0,relbert_output/ckpt/roberta_auto_c822/epoch_2,6,BLESS,0.4532168148259756,0.10395714532573008,0.4532168148259756,0.07553613580432926,0.4532168148259756,0.16666666666666666,0.4532168148259756,6637,0.4589299171062547,0.10485537190082644,0.4589299171062547,0.07648831951770911,0.4589299171062547,0.16666666666666666,0.4589299171062547,1327.0
1,relbert_output/ckpt/roberta_auto_c822/epoch_2,4,K&H+N,0.5485149892188913,0.28325302147911835,0.5485149892188913,0.27981263442091303,0.5485149892188913,0.303511564485318,0.5485149892188913,14377,0.5622392211404729,0.2890571154554715,0.5622392211404729,0.284878111114122,0.5622392211404729,0.3078827113480579,0.5622392211404729,2876.0
2,relbert_output/ckpt/roberta_auto_c822/epoch_2,7,EVALution,0.24864572047670638,0.0568949488689185,0.24864572047670638,0.03552081721095805,0.24864572047670638,0.14285714285714285,0.24864572047670638,1846,0.25268817204301075,0.05763335377069283,0.25268817204301075,0.03609831029185868,0.25268817204301075,0.14285714285714285,0.25268817204301075,372.0
3,relbert_output/ckpt/roberta_auto_c822/epoch_2,5,CogALexV,0.718075117370892,0.16718130892198388,0.718075117370892,0.1436150234741784,0.718075117370892,0.2,0.718075117370892,4260,,,,,,,,
4,relbert_output/ckpt/roberta_auto_c822/epoch_2,3,ROOT09,0.2535255405828894,0.13483333333333333,0.2535255405828894,0.0845085135276298,0.2535255405828894,0.3333333333333333,0.2535255405828894,3191,0.2335423197492163,0.12621770436255822,0.2335423197492163,0.07784743991640543,0.2335423197492163,0.3333333333333333,0.2335423197492163,638.0
5,relbert_output/ckpt/roberta_auto_c823/epoch_2,6,BLESS,0.4532168148259756,0.10395714532573008,0.4532168148259756,0.07553613580432926,0.4532168148259756,0.16666666666666666,0.4532168148259756,6637,0.4589299171062547,0.10485537190082644,0.4589299171062547,0.07648831951770911,0.4589299171062547,0.16666666666666666,0.4589299171062547,1327.0
6,relbert_output/ckpt/roberta_auto_c823/epoch_2,4,K&H+N,0.5485149892188913,0.28325302147911835,0.5485149892188913,0.27981263442091303,0.5485149892188913,0.303511564485318,0.5485149892188913,14377,0.5622392211404729,0.2890571154554715,0.5622392211404729,0.284878111114122,0.5622392211404729,0.3078827113480579,0.5622392211404729,2876.0
7,relbert_output/ckpt/roberta_auto_c823/epoch_2,7,EVALution,0.24864572047670638,0.0568949488689185,0.24864572047670638,0.03552081721095805,0.24864572047670638,0.14285714285714285,0.24864572047670638,1846,0.25268817204301075,0.05763335377069283,0.25268817204301075,0.03609831029185868,0.25268817204301075,0.14285714285714285,0.25268817204301075,372.0
8,relbert_output/ckpt/roberta_auto_c823/epoch_2,5,CogALexV,0.718075117370892,0.16718130892198388,0.718075117370892,0.1436150234741784,0.718075117370892,0.2,0.718075117370892,4260,,,,,,,,
9,relbert_output/ckpt/roberta_auto_c823/epoch_2,3,ROOT09,0.4907552491382012,0.21946605003153244,0.4907552491382011,0.16358508304606706,0.4907552491382012,0.3333333333333333,0.4907552491382012,3191,0.512539184952978,0.2259067357512953,0.512539184952978,0.170846394984326,0.512539184952978,0.3333333333333333,0.512539184952978,638.0
10,relbert_output/ckpt/roberta_auto_c832/epoch_2,6,BLESS,0.4532168148259756,0.10395714532573008,0.4532168148259756,0.07553613580432926,0.4532168148259756,0.16666666666666666,0.4532168148259756,6637,0.4589299171062547,0.10485537190082644,0.4589299171062547,0.07648831951770911,0.4589299171062547,0.16666666666666666,0.4589299171062547,1327.0
11,relbert_output/ckpt/roberta_auto_c832/epoch_2,4,K&H+N,0.5485149892188913,0.28325302147911835,0.5485149892188913,0.27981263442091303,0.5485149892188913,0.303511564485318,0.5485149892188913,14377,0.5622392211404729,0.2890571154554715,0.5622392211404729,0.284878111114122,0.5622392211404729,0.3078827113480579,0.5622392211404729,2876.0
12,relbert_output/ckpt/roberta_auto_c832/epoch_2,7,EVALution,0.2248104008667389,0.05244202944335629,0.2248104008667389,0.03211577155239127,0.2248104008667389,0.14285714285714285,0.2248104008667389,1846,0.24193548387096775,0.05565862708719852,0.24193548387096775,0.03456221198156682,0.24193548387096775,0.14285714285714285,0.24193548387096775,372.0
13,relbert_output/ckpt/roberta_auto_c832/epoch_2,5,CogALexV,0.718075117370892,0.16718130892198388,0.718075117370892,0.1436150234741784,0.718075117370892,0.2,0.718075117370892,4260,,,,,,,,
14,relbert_output/ckpt/roberta_auto_c832/epoch_2,3,ROOT09,0.2557192102789094,0.1357624157723983,0.2557192102789094,0.08523973675963648,0.2557192102789094,0.3333333333333333,0.2557192102789094,3191,0.25391849529780564,0.135,0.25391849529780564,0.08463949843260188,0.25391849529780564,0.3333333333333333,0.25391849529780564,638.0
15,relbert_output/ckpt/roberta_auto_c833/epoch_2,6,BLESS,0.9171312339912611,0.9117276492855892,0.9171312339912611,0.9094172809591144,0.9171312339912611,0.9166333122281548,0.9171312339912611,6637,0.9027882441597589,0.8891365733879636,0.9027882441597589,0.8879246064585028,0.9027882441597589,0.8946243829243982,0.9027882441597589,1327.0
16,relbert_output/ckpt/roberta_auto_c833/epoch_2,4,K&H+N,0.9728733393614801,0.9083285878147125,0.9728733393614801,0.9077745645532264,0.9728733393614801,0.909271896264043,0.9728733393614801,14377,0.9666203059805285,0.8909849639096706,0.9666203059805285,0.8868561583848874,0.9666203059805285,0.895761931962427,0.9666203059805285,2876.0
17,relbert_output/ckpt/roberta_auto_c833/epoch_2,7,EVALution,0.6608884073672806,0.6550334566088953,0.6608884073672806,0.6762349672808516,0.6608884073672806,0.6763008386914172,0.6608884073672806,1846,0.6854838709677419,0.6704331007594383,0.6854838709677419,0.6826991114716568,0.6854838709677419,0.6982360614731434,0.6854838709677419,372.0
18,relbert_output/ckpt/roberta_auto_c833/epoch_2,5,CogALexV,0.8389671361502348,0.6453073055080135,0.8389671361502348,0.7250621451953181,0.8389671361502348,0.6158725906887501,0.8389671361502348,4260,,,,,,,,
19,relbert_output/ckpt/roberta_auto_c833/epoch_2,3,ROOT09,0.8900031338138514,0.8834632995652664,0.8900031338138514,0.896526787728968,0.8900031338138514,0.8765107427933135,0.8900031338138514,3191,0.8934169278996865,0.8831220207381197,0.8934169278996865,0.8986585674800098,0.8934169278996865,0.8727686597173286,0.8934169278996865,638.0
20,relbert_output/ckpt/roberta_auto_c922/epoch_2,6,BLESS,0.4532168148259756,0.10395714532573008,0.4532168148259756,0.07553613580432926,0.4532168148259756,0.16666666666666666,0.4532168148259756,6637,0.4589299171062547,0.10485537190082644,0.4589299171062547,0.07648831951770911,0.4589299171062547,0.16666666666666666,0.4589299171062547,1327.0
21,relbert_output/ckpt/roberta_auto_c922/epoch_2,4,K&H+N,0.5485149892188913,0.28325302147911835,0.5485149892188913,0.27981263442091303,0.5485149892188913,0.303511564485318,0.5485149892188913,14377,0.5622392211404729,0.2890571154554715,0.5622392211404729,0.284878111114122,0.5622392211404729,0.3078827113480579,0.5622392211404729,2876.0
22,relbert_output/ckpt/roberta_auto_c922/epoch_2,7,EVALution,0.1744312026002167,0.042435424354243544,0.1744312026002167,0.024918743228602384,0.1744312026002167,0.14285714285714285,0.1744312026002167,1846,0.1935483870967742,0.04633204633204633,0.1935483870967742,0.027649769585253454,0.1935483870967742,0.14285714285714285,0.1935483870967742,372.0
23,relbert_output/ckpt/roberta_auto_c922/epoch_2,5,CogALexV,0.718075117370892,0.16718130892198388,0.718075117370892,0.1436150234741784,0.718075117370892,0.2,0.718075117370892,4260,,,,,,,,
24,relbert_output/ckpt/roberta_auto_c922/epoch_2,3,ROOT09,0.2535255405828894,0.13483333333333333,0.2535255405828894,0.0845085135276298,0.2535255405828894,0.3333333333333333,0.2535255405828894,3191,0.2335423197492163,0.12621770436255822,0.2335423197492163,0.07784743991640543,0.2335423197492163,0.3333333333333333,0.2335423197492163,638.0
