,accuracy/valid,accuracy/test,accuracy/full,data,validation_loss,validation_data,model,mode,template_type,template
28,0.5,0.5069444444444444,0.50625,u4,2.1190444366841374,semeval2012,ckpt/roberta_mining_bottom_5/epoch_1,average_no_mask,,The concerts sold <obj> well <subj> advance.
29,0.8,0.78,0.7818181818181819,google,2.1190444366841374,semeval2012,ckpt/roberta_mining_bottom_5/epoch_1,average_no_mask,,The concerts sold <obj> well <subj> advance.
30,0.7939698492462312,0.7665369649805448,0.7692692692692693,bats,2.6921160734152494,semeval2012,ckpt/roberta_mining_bottom_6/epoch_1,average_no_mask,,Warren also came <obj> as lesbian <subj> 1974.
31,0.4594594594594595,0.6261127596439169,0.6096256684491979,sat,2.6921160734152494,semeval2012,ckpt/roberta_mining_bottom_6/epoch_1,average_no_mask,,Warren also came <obj> as lesbian <subj> 1974.
32,0.5,0.5921052631578947,0.5833333333333334,u2,2.6921160734152494,semeval2012,ckpt/roberta_mining_bottom_6/epoch_1,average_no_mask,,Warren also came <obj> as lesbian <subj> 1974.
33,0.625,0.6481481481481481,0.6458333333333334,u4,2.6921160734152494,semeval2012,ckpt/roberta_mining_bottom_6/epoch_1,average_no_mask,,Warren also came <obj> as lesbian <subj> 1974.
34,0.92,0.914,0.9145454545454546,google,2.6921160734152494,semeval2012,ckpt/roberta_mining_bottom_6/epoch_1,average_no_mask,,Warren also came <obj> as lesbian <subj> 1974.
35,0.7688442211055276,0.7604224569205114,0.7612612612612613,bats,2.924191921572142,semeval2012,ckpt/roberta_mining_bottom_7/epoch_1,average_no_mask,,He came <obj> publicly <subj> 1993.
36,0.5135135135135135,0.6053412462908012,0.5962566844919787,sat,2.924191921572142,semeval2012,ckpt/roberta_mining_bottom_7/epoch_1,average_no_mask,,He came <obj> publicly <subj> 1993.
37,0.4583333333333333,0.6491228070175439,0.6309523809523809,u2,2.924191921572142,semeval2012,ckpt/roberta_mining_bottom_7/epoch_1,average_no_mask,,He came <obj> publicly <subj> 1993.
38,0.5833333333333334,0.6203703703703703,0.6166666666666667,u4,2.924191921572142,semeval2012,ckpt/roberta_mining_bottom_7/epoch_1,average_no_mask,,He came <obj> publicly <subj> 1993.
39,0.86,0.886,0.8836363636363637,google,2.924191921572142,semeval2012,ckpt/roberta_mining_bottom_7/epoch_1,average_no_mask,,He came <obj> publicly <subj> 1993.
40,0.7035175879396985,0.6586992773763202,0.6631631631631631,bats,3.437727336642108,semeval2012,ckpt/roberta_mining_bottom_8/epoch_1,average_no_mask,,<obj> of Doors <subj> Florida.
41,0.3783783783783784,0.47477744807121663,0.46524064171123,sat,3.437727336642108,semeval2012,ckpt/roberta_mining_bottom_8/epoch_1,average_no_mask,,<obj> of Doors <subj> Florida.
42,0.4166666666666667,0.543859649122807,0.5317460317460317,u2,3.437727336642108,semeval2012,ckpt/roberta_mining_bottom_8/epoch_1,average_no_mask,,<obj> of Doors <subj> Florida.
43,0.4375,0.5393518518518519,0.5291666666666667,u4,3.437727336642108,semeval2012,ckpt/roberta_mining_bottom_8/epoch_1,average_no_mask,,<obj> of Doors <subj> Florida.
44,0.68,0.702,0.7,google,3.437727336642108,semeval2012,ckpt/roberta_mining_bottom_8/epoch_1,average_no_mask,,<obj> of Doors <subj> Florida.
45,0.7487437185929648,0.7153974430239022,0.7187187187187187,bats,2.3229090050805974,semeval2012,ckpt/roberta_mining_bottom_9/epoch_1,average_no_mask,,Mary came <obj> as bisexual <subj> 2008.
46,0.5405405405405406,0.6053412462908012,0.5989304812834224,sat,2.3229090050805974,semeval2012,ckpt/roberta_mining_bottom_9/epoch_1,average_no_mask,,Mary came <obj> as bisexual <subj> 2008.
47,0.5416666666666666,0.5964912280701754,0.5912698412698413,u2,2.3229090050805974,semeval2012,ckpt/roberta_mining_bottom_9/epoch_1,average_no_mask,,Mary came <obj> as bisexual <subj> 2008.
48,0.5625,0.6134259259259259,0.6083333333333333,u4,2.3229090050805974,semeval2012,ckpt/roberta_mining_bottom_9/epoch_1,average_no_mask,,Mary came <obj> as bisexual <subj> 2008.
49,0.84,0.888,0.8836363636363637,google,2.3229090050805974,semeval2012,ckpt/roberta_mining_bottom_9/epoch_1,average_no_mask,,Mary came <obj> as bisexual <subj> 2008.
50,0.6834170854271356,0.669816564758199,0.6711711711711712,bats,3.6970937221865112,semeval2012,ckpt/roberta_mining_top_0/epoch_1,average_no_mask,,"<obj> oshibori are used in summer, and <subj> oshibori in winter."
51,0.43243243243243246,0.4391691394658754,0.4385026737967914,sat,3.6970937221865112,semeval2012,ckpt/roberta_mining_top_0/epoch_1,average_no_mask,,"<obj> oshibori are used in summer, and <subj> oshibori in winter."
52,0.4583333333333333,0.5570175438596491,0.5476190476190477,u2,3.6970937221865112,semeval2012,ckpt/roberta_mining_top_0/epoch_1,average_no_mask,,"<obj> oshibori are used in summer, and <subj> oshibori in winter."
53,0.5416666666666666,0.5185185185185185,0.5208333333333334,u4,3.6970937221865112,semeval2012,ckpt/roberta_mining_top_0/epoch_1,average_no_mask,,"<obj> oshibori are used in summer, and <subj> oshibori in winter."
54,0.78,0.8,0.7981818181818182,google,3.6970937221865112,semeval2012,ckpt/roberta_mining_top_0/epoch_1,average_no_mask,,"<obj> oshibori are used in summer, and <subj> oshibori in winter."
55,0.6884422110552764,0.6831573096164536,0.6836836836836837,bats,1.8462300360957278,semeval2012,ckpt/roberta_mining_top_1/epoch_1,average_no_mask,,The opposite of <obj> chaining is <subj> chaining.
56,0.32432432432432434,0.4629080118694362,0.44919786096256686,sat,1.8462300360957278,semeval2012,ckpt/roberta_mining_top_1/epoch_1,average_no_mask,,The opposite of <obj> chaining is <subj> chaining.
57,0.4166666666666667,0.4605263157894737,0.45634920634920634,u2,1.8462300360957278,semeval2012,ckpt/roberta_mining_top_1/epoch_1,average_no_mask,,The opposite of <obj> chaining is <subj> chaining.
58,0.5625,0.4837962962962963,0.49166666666666664,u4,1.8462300360957278,semeval2012,ckpt/roberta_mining_top_1/epoch_1,average_no_mask,,The opposite of <obj> chaining is <subj> chaining.
59,0.82,0.784,0.7872727272727272,google,1.8462300360957278,semeval2012,ckpt/roberta_mining_top_1/epoch_1,average_no_mask,,The opposite of <obj> chaining is <subj> chaining.
60,0.7386934673366834,0.7292940522512507,0.7302302302302303,bats,4.2779747685299645,semeval2012,ckpt/roberta_mining_top_2/epoch_1,average_no_mask,,"<subj> — Valery Vladimirovich, <obj> — Galina Ivanovna."
61,0.3783783783783784,0.5341246290801187,0.5187165775401069,sat,4.2779747685299645,semeval2012,ckpt/roberta_mining_top_2/epoch_1,average_no_mask,,"<subj> — Valery Vladimirovich, <obj> — Galina Ivanovna."
62,0.375,0.5,0.4880952380952381,u2,4.2779747685299645,semeval2012,ckpt/roberta_mining_top_2/epoch_1,average_no_mask,,"<subj> — Valery Vladimirovich, <obj> — Galina Ivanovna."
63,0.625,0.5532407407407407,0.5604166666666667,u4,4.2779747685299645,semeval2012,ckpt/roberta_mining_top_2/epoch_1,average_no_mask,,"<subj> — Valery Vladimirovich, <obj> — Galina Ivanovna."
64,0.92,0.848,0.8545454545454545,google,4.2779747685299645,semeval2012,ckpt/roberta_mining_top_2/epoch_1,average_no_mask,,"<subj> — Valery Vladimirovich, <obj> — Galina Ivanovna."
65,0.6633165829145728,0.6581434130072262,0.6586586586586587,bats,2.0365566784822486,semeval2012,ckpt/roberta_mining_top_3/epoch_1,average_no_mask,,Trucks enter on the <obj> end and exit on the <subj> end.
66,0.43243243243243246,0.5252225519287834,0.516042780748663,sat,2.0365566784822486,semeval2012,ckpt/roberta_mining_top_3/epoch_1,average_no_mask,,Trucks enter on the <obj> end and exit on the <subj> end.
