accuracy,model,prefix,data
0.22192513368983957,EleutherAI/gpt-neox-20b,,sat_full
0.32894736842105265,EleutherAI/gpt-neox-20b,,u2
0.3425925925925926,EleutherAI/gpt-neox-20b,,u4
0.234,EleutherAI/gpt-neox-20b,,google
0.31072818232351307,EleutherAI/gpt-neox-20b,,bats
0.26409495548961426,facebook/opt-iml-30b,,sat
0.2727272727272727,facebook/opt-iml-30b,,sat_full
0.30701754385964913,facebook/opt-iml-30b,,u2
0.2986111111111111,facebook/opt-iml-30b,,u4
0.27,facebook/opt-iml-30b,,google
0.28627015008337964,facebook/opt-iml-30b,,bats
0.314540059347181,facebook/opt-iml-max-30b,,sat
0.31283422459893045,facebook/opt-iml-max-30b,,sat_full
0.3201754385964912,facebook/opt-iml-max-30b,,u2
0.3472222222222222,facebook/opt-iml-max-30b,,u4
0.322,facebook/opt-iml-max-30b,,google
0.3390772651473041,facebook/opt-iml-max-30b,,bats
0.29080118694362017,facebook/opt-30b,,sat
0.2994652406417112,facebook/opt-30b,,sat_full
0.32456140350877194,facebook/opt-30b,,u2
0.29398148148148145,facebook/opt-30b,,u4
0.268,facebook/opt-30b,,google
0.3168426903835464,facebook/opt-30b,,bats
0.41839762611275966,google/flan-ul2,,sat
0.40641711229946526,google/flan-ul2,,sat_full
0.4298245614035088,google/flan-ul2,,u2
0.4097222222222222,google/flan-ul2,,u4
0.482,google/flan-ul2,,google
0.4219010561423013,google/flan-ul2,,bats
