accuracy,model,prefix,data
0.404,relbert/flan-t5-xl-analogy-nell,,google
0.3568649249583102,relbert/flan-t5-xl-analogy-nell,,bats
0.02185792349726776,relbert/flan-t5-xl-analogy-nell,,t_rex_relational_similarity
0.04194630872483222,relbert/flan-t5-xl-analogy-nell,,conceptnet_relational_similarity
0.33666666666666667,relbert/flan-t5-xl-analogy-nell,,nell_relational_similarity
0.0297029702970297,relbert/flan-t5-xl-analogy-nell,,scan
0.22727272727272727,relbert/flan-t5-large-analogy-nell,,sat_full
0.27631578947368424,relbert/flan-t5-large-analogy-nell,,u2
0.3148148148148148,relbert/flan-t5-large-analogy-nell,,u4
0.4,relbert/flan-t5-large-analogy-nell,,google
0.36853807670928296,relbert/flan-t5-large-analogy-nell,,bats
0.060109289617486336,relbert/flan-t5-large-analogy-nell,,t_rex_relational_similarity
0.05620805369127517,relbert/flan-t5-large-analogy-nell,,conceptnet_relational_similarity
0.3233333333333333,relbert/flan-t5-large-analogy-nell,,nell_relational_similarity
0.03155940594059406,relbert/flan-t5-large-analogy-nell,,scan
0.22192513368983957,relbert/flan-t5-base-analogy-nell,,sat_full
0.2894736842105263,relbert/flan-t5-base-analogy-nell,,u2
0.30324074074074076,relbert/flan-t5-base-analogy-nell,,u4
0.36,relbert/flan-t5-base-analogy-nell,,google
0.3463035019455253,relbert/flan-t5-base-analogy-nell,,bats
0.04918032786885246,relbert/flan-t5-base-analogy-nell,,t_rex_relational_similarity
0.061241610738255035,relbert/flan-t5-base-analogy-nell,,conceptnet_relational_similarity
0.3466666666666667,relbert/flan-t5-base-analogy-nell,,nell_relational_similarity
0.038366336633663366,relbert/flan-t5-base-analogy-nell,,scan
0.23529411764705882,relbert/flan-t5-small-analogy-nell,,sat_full
0.31140350877192985,relbert/flan-t5-small-analogy-nell,,u2
0.3425925925925926,relbert/flan-t5-small-analogy-nell,,u4
0.37,relbert/flan-t5-small-analogy-nell,,google
0.37298499166203447,relbert/flan-t5-small-analogy-nell,,bats
0.04918032786885246,relbert/flan-t5-small-analogy-nell,,t_rex_relational_similarity
0.06459731543624161,relbert/flan-t5-small-analogy-nell,,conceptnet_relational_similarity
0.35,relbert/flan-t5-small-analogy-nell,,nell_relational_similarity
0.03403465346534654,relbert/flan-t5-small-analogy-nell,,scan
0.44385026737967914,relbert/flan-t5-xl-analogy,,sat_full
0.5877192982456141,relbert/flan-t5-xl-analogy,,u2
0.5486111111111112,relbert/flan-t5-xl-analogy,,u4
0.896,relbert/flan-t5-xl-analogy,,google
0.7337409672040022,relbert/flan-t5-xl-analogy,,bats
0.23497267759562843,relbert/flan-t5-xl-analogy,,t_rex_relational_similarity
0.18540268456375839,relbert/flan-t5-xl-analogy,,conceptnet_relational_similarity
0.4683333333333333,relbert/flan-t5-xl-analogy,,nell_relational_similarity
0.09962871287128713,relbert/flan-t5-xl-analogy,,scan
0.4411764705882353,relbert/flan-t5-large-analogy,,sat_full
0.5219298245614035,relbert/flan-t5-large-analogy,,u2
0.5023148148148148,relbert/flan-t5-large-analogy,,u4
0.888,relbert/flan-t5-large-analogy,,google
0.7248471372984991,relbert/flan-t5-large-analogy,,bats
0.1912568306010929,relbert/flan-t5-large-analogy,,t_rex_relational_similarity
0.16275167785234898,relbert/flan-t5-large-analogy,,conceptnet_relational_similarity
0.3883333333333333,relbert/flan-t5-large-analogy,,nell_relational_similarity
0.10457920792079207,relbert/flan-t5-large-analogy,,scan
0.37433155080213903,relbert/flan-t5-base-analogy,,sat_full
0.4342105263157895,relbert/flan-t5-base-analogy,,u2
0.4351851851851852,relbert/flan-t5-base-analogy,,u4
0.762,relbert/flan-t5-base-analogy,,google
0.6486937187326293,relbert/flan-t5-base-analogy,,bats
0.19672131147540983,relbert/flan-t5-base-analogy,,t_rex_relational_similarity
0.15436241610738255,relbert/flan-t5-base-analogy,,conceptnet_relational_similarity
0.4083333333333333,relbert/flan-t5-base-analogy,,nell_relational_similarity
0.1021039603960396,relbert/flan-t5-base-analogy,,scan
0.3342245989304813,relbert/flan-t5-small-analogy,,sat_full
0.39473684210526316,relbert/flan-t5-small-analogy,,u2
0.3888888888888889,relbert/flan-t5-small-analogy,,u4
0.676,relbert/flan-t5-small-analogy,,google
0.6058921623123957,relbert/flan-t5-small-analogy,,bats
0.11475409836065574,relbert/flan-t5-small-analogy,,t_rex_relational_similarity
0.12164429530201343,relbert/flan-t5-small-analogy,,conceptnet_relational_similarity
0.36333333333333334,relbert/flan-t5-small-analogy,,nell_relational_similarity
0.09467821782178218,relbert/flan-t5-small-analogy,,scan
0.3850267379679144,relbert/flan-t5-xl-analogy-permutation,,sat_full
0.5175438596491229,relbert/flan-t5-xl-analogy-permutation,,u2
0.4930555555555556,relbert/flan-t5-xl-analogy-permutation,,u4
0.81,relbert/flan-t5-xl-analogy-permutation,,google
0.6481378543635353,relbert/flan-t5-xl-analogy-permutation,,bats
0.20218579234972678,relbert/flan-t5-xl-analogy-permutation,,t_rex_relational_similarity
0.1669463087248322,relbert/flan-t5-xl-analogy-permutation,,conceptnet_relational_similarity
0.405,relbert/flan-t5-xl-analogy-permutation,,nell_relational_similarity
0.08601485148514851,relbert/flan-t5-xl-analogy-permutation,,scan
0.35294117647058826,relbert/flan-t5-large-analogy-permutation,,sat_full
0.4473684210526316,relbert/flan-t5-large-analogy-permutation,,u2
0.4675925925925926,relbert/flan-t5-large-analogy-permutation,,u4
0.82,relbert/flan-t5-large-analogy-permutation,,google
0.6325736520289049,relbert/flan-t5-large-analogy-permutation,,bats
0.1912568306010929,relbert/flan-t5-large-analogy-permutation,,t_rex_relational_similarity
0.13506711409395974,relbert/flan-t5-large-analogy-permutation,,conceptnet_relational_similarity
0.42333333333333334,relbert/flan-t5-large-analogy-permutation,,nell_relational_similarity
0.08972772277227722,relbert/flan-t5-large-analogy-permutation,,scan
0.32620320855614976,relbert/flan-t5-base-analogy-permutation,,sat_full
0.40350877192982454,relbert/flan-t5-base-analogy-permutation,,u2
0.43287037037037035,relbert/flan-t5-base-analogy-permutation,,u4
0.738,relbert/flan-t5-base-analogy-permutation,,google
0.6058921623123957,relbert/flan-t5-base-analogy-permutation,,bats
0.2459016393442623,relbert/flan-t5-base-analogy-permutation,,t_rex_relational_similarity
0.14681208053691275,relbert/flan-t5-base-analogy-permutation,,conceptnet_relational_similarity
0.44166666666666665,relbert/flan-t5-base-analogy-permutation,,nell_relational_similarity
0.08601485148514851,relbert/flan-t5-base-analogy-permutation,,scan
0.3155080213903743,relbert/flan-t5-small-analogy-permutation,,sat_full
0.3684210526315789,relbert/flan-t5-small-analogy-permutation,,u2
0.36574074074074076,relbert/flan-t5-small-analogy-permutation,,u4
0.596,relbert/flan-t5-small-analogy-permutation,,google
0.5175097276264592,relbert/flan-t5-small-analogy-permutation,,bats
0.15846994535519127,relbert/flan-t5-small-analogy-permutation,,t_rex_relational_similarity
0.09144295302013423,relbert/flan-t5-small-analogy-permutation,,conceptnet_relational_similarity
0.4033333333333333,relbert/flan-t5-small-analogy-permutation,,nell_relational_similarity
0.08168316831683169,relbert/flan-t5-small-analogy-permutation,,scan
0.45454545454545453,relbert/flan-t5-xl-analogy-permutation-domain,,sat_full
0.6008771929824561,relbert/flan-t5-xl-analogy-permutation-domain,,u2
0.5555555555555556,relbert/flan-t5-xl-analogy-permutation-domain,,u4
0.868,relbert/flan-t5-xl-analogy-permutation-domain,,google
0.7059477487493052,relbert/flan-t5-xl-analogy-permutation-domain,,bats
0.21311475409836064,relbert/flan-t5-xl-analogy-permutation-domain,,t_rex_relational_similarity
0.2105704697986577,relbert/flan-t5-xl-analogy-permutation-domain,,conceptnet_relational_similarity
0.5066666666666667,relbert/flan-t5-xl-analogy-permutation-domain,,nell_relational_similarity
0.1188118811881188,relbert/flan-t5-xl-analogy-permutation-domain,,scan
0.4037433155080214,relbert/flan-t5-large-analogy-permutation-domain,,sat_full
0.5087719298245614,relbert/flan-t5-large-analogy-permutation-domain,,u2
0.5208333333333334,relbert/flan-t5-large-analogy-permutation-domain,,u4
0.884,relbert/flan-t5-large-analogy-permutation-domain,,google
0.6864924958310172,relbert/flan-t5-large-analogy-permutation-domain,,bats
0.19672131147540983,relbert/flan-t5-large-analogy-permutation-domain,,t_rex_relational_similarity
0.17953020134228187,relbert/flan-t5-large-analogy-permutation-domain,,conceptnet_relational_similarity
0.46,relbert/flan-t5-large-analogy-permutation-domain,,nell_relational_similarity
0.11324257425742575,relbert/flan-t5-large-analogy-permutation-domain,,scan
0.3689839572192513,relbert/flan-t5-base-analogy-permutation-domain,,sat_full
0.44298245614035087,relbert/flan-t5-base-analogy-permutation-domain,,u2
0.4513888888888889,relbert/flan-t5-base-analogy-permutation-domain,,u4
0.82,relbert/flan-t5-base-analogy-permutation-domain,,google
0.6609227348526959,relbert/flan-t5-base-analogy-permutation-domain,,bats
0.19672131147540983,relbert/flan-t5-base-analogy-permutation-domain,,t_rex_relational_similarity
