accuracy,model,prefix,data
0.204,t5-large,,google
0.28071150639244025,t5-large,,bats
0.2608695652173913,t5-base,0,sat_metaphor
0.1875,t5-base,1,sat_metaphor
0.15555555555555556,t5-base,2,sat_metaphor
0.21604938271604937,t5-base,,sat_metaphor
0.24925816023738873,t5-base,,sat
0.24064171122994651,t5-base,,sat_full
0.29385964912280704,t5-base,,u2
0.34953703703703703,t5-base,,u4
0.212,t5-base,,google
0.21956642579210672,t5-base,,bats
0.20652173913043478,t5-small,0,sat_metaphor
0.1875,t5-small,1,sat_metaphor
0.15555555555555556,t5-small,2,sat_metaphor
0.17901234567901234,t5-small,,sat_metaphor
0.20771513353115728,t5-small,,sat
0.20320855614973263,t5-small,,sat_full
0.29385964912280704,t5-small,,u2
0.3101851851851852,t5-small,,u4
0.278,t5-small,,google
0.25403001667593106,t5-small,,bats
0.21739130434782608,EleutherAI/gpt-j-6B,0,sat_metaphor
0.125,EleutherAI/gpt-j-6B,1,sat_metaphor
0.3111111111111111,EleutherAI/gpt-j-6B,2,sat_metaphor
0.2345679012345679,EleutherAI/gpt-j-6B,,sat_metaphor
0.2522255192878338,EleutherAI/gpt-j-6B,,sat
0.2620320855614973,EleutherAI/gpt-j-6B,,sat_full
0.3201754385964912,EleutherAI/gpt-j-6B,,u2
0.28935185185185186,EleutherAI/gpt-j-6B,,u4
0.278,EleutherAI/gpt-j-6B,,google
0.3274041133963313,EleutherAI/gpt-j-6B,,bats
0.18478260869565216,google/switch-base-128,0,sat_metaphor
0.0,google/switch-base-128,1,sat_metaphor
0.3111111111111111,google/switch-base-128,2,sat_metaphor
0.18518518518518517,google/switch-base-128,,sat_metaphor
0.19881305637982197,google/switch-base-128,,sat
0.20320855614973263,google/switch-base-128,,sat_full
0.2631578947368421,google/switch-base-128,,u2
0.24305555555555555,google/switch-base-128,,u4
0.226,google/switch-base-128,,google
0.27959977765425237,google/switch-base-128,,bats
0.18478260869565216,gpt2-xl,0,sat_metaphor
0.1875,gpt2-xl,1,sat_metaphor
0.24444444444444444,gpt2-xl,2,sat_metaphor
0.20987654320987653,gpt2-xl,,sat_metaphor
0.2403560830860534,gpt2-xl,,sat
0.24866310160427807,gpt2-xl,,sat_full
0.2543859649122807,gpt2-xl,,u2
0.2986111111111111,gpt2-xl,,u4
0.244,gpt2-xl,,google
0.282934963868816,gpt2-xl,,bats
0.21739130434782608,gpt2-large,0,sat_metaphor
0.125,gpt2-large,1,sat_metaphor
0.2222222222222222,gpt2-large,2,sat_metaphor
0.2037037037037037,gpt2-large,,sat_metaphor
0.2344213649851632,gpt2-large,,sat
0.23529411764705882,gpt2-large,,sat_full
0.2631578947368421,gpt2-large,,u2
0.28935185185185186,gpt2-large,,u4
0.238,gpt2-large,,google
0.28793774319066145,gpt2-large,,bats
0.22826086956521738,gpt2-medium,0,sat_metaphor
0.25,gpt2-medium,1,sat_metaphor
0.2,gpt2-medium,2,sat_metaphor
0.21604938271604937,gpt2-medium,,sat_metaphor
0.22255192878338279,gpt2-medium,,sat
0.22459893048128343,gpt2-medium,,sat_full
0.3157894736842105,gpt2-medium,,u2
0.29398148148148145,gpt2-medium,,u4
0.276,gpt2-medium,,google
0.29571984435797666,gpt2-medium,,bats
0.1956521739130435,gpt2,0,sat_metaphor
0.1875,gpt2,1,sat_metaphor
0.24444444444444444,gpt2,2,sat_metaphor
0.2037037037037037,gpt2,,sat_metaphor
0.21068249258160238,gpt2,,sat
0.21657754010695188,gpt2,,sat_full
0.31140350877192985,gpt2,,u2
0.30787037037037035,gpt2,,u4
0.288,gpt2,,google
0.2846025569760978,gpt2,,bats
