data,model,loss_function,aggregate,semeval2012_relational_similarity/validation.forward,scan/test.forward,sat_full/test.forward,sat/test.forward,u2/test.forward,u4/test.forward,google/test.forward,bats/test.forward,t_rex_relational_similarity/test.forward,conceptnet_relational_similarity/test.forward,nell_relational_similarity/test.forward,scan/validation.forward,sat/validation.forward,u2/validation.forward,u4/validation.forward,google/validation.forward,bats/validation.forward,t_rex_relational_similarity/validation.forward,conceptnet_relational_similarity/validation.forward,nell_relational_similarity/validation.forward,BLESS,CogALexV,EVALution,K&H+N,ROOT09
semeval2012-0,roberta-base,nce,average_no_mask,0.784810127,0.259282178,0.598930481,0.608308605,0.596491228,0.574074074,0.892,0.703168427,0.666666667,0.397651007,0.62,0.258426966,0.513513514,0.458333333,0.645833333,0.96,0.773869347,0.266129032,0.32823741,0.575,0.899804128,0.837089202,0.641928494,0.939695347,0.881541836
semeval2012-1,roberta-base,nce,average_no_mask,0.772151899,0.259282178,0.542780749,0.545994065,0.51754386,0.537037037,0.794,0.652584769,0.551912568,0.274328859,0.71,,,,,,,,,,0.913515142,0.814553991,0.633261105,0.947416012,0.883108743
semeval2012-2,roberta-base,nce,average_no_mask,0.696202532,0.233292079,0.558823529,0.560830861,0.557017544,0.543981481,0.856,0.673151751,0.464480874,0.304530201,0.635,,,,,,,,,,0.906734971,0.811267606,0.630552546,0.943312235,0.895017236
semeval2012-0,roberta-large,nce,average_no_mask,0.746835443,0.259282178,0.681818182,0.682492582,0.675438596,0.638888889,0.934,0.783212896,0.677595628,0.432885906,0.605,,,,,,,,,,0.914871177,0.848591549,0.669014085,0.950893789,0.891883422
semeval2012-1,roberta-large,nce,average_no_mask,0.746835443,0.270420792,0.684491979,0.685459941,0.653508772,0.650462963,0.934,0.797109505,0.650273224,0.447986577,0.673333333,,,,,,,,,,0.924363417,0.864788732,0.689599133,0.952702233,0.895330617
semeval2012-2,roberta-large,nce,average_no_mask,0.797468354,0.290841584,0.719251337,0.709198813,0.679824561,0.664351852,0.948,0.804335742,0.633879781,0.486577181,0.663333333,,,,,,,,,,0.916980564,0.864319249,0.678223185,0.95680601,0.915073645
semeval2012-0-400,roberta-large,nce,average_no_mask,0.746835443,0.271658416,0.732620321,0.735905045,0.675438596,0.62962963,0.952,0.809338521,0.644808743,0.474832215,0.658333333,0.286516854,0.702702703,0.625,0.5625,1,0.854271357,0.280241935,0.378597122,0.61,0.919993973,0.849765258,0.683640303,0.956319121,0.904105296
