data,model,loss_function,aggregate,semeval2012_relational_similarity/validation.forward,scan/test.forward,sat_full/test.forward,sat/test.forward,u2/test.forward,u4/test.forward,google/test.forward,bats/test.forward,t_rex_relational_similarity/test.forward,conceptnet_relational_similarity/test.forward,nell_relational_similarity/test.forward,scan/validation.forward,sat/validation.forward,u2/validation.forward,u4/validation.forward,google/validation.forward,bats/validation.forward,t_rex_relational_similarity/validation.forward,conceptnet_relational_similarity/validation.forward,nell_relational_similarity/validation.forward,BLESS,CogALexV,EVALution,K&H+N,ROOT09
semeval2012-0,roberta-base,nce,average_no_mask,0.7848101265822784,0.2592821782178218,0.5989304812834224,0.6083086053412463,0.5964912280701754,0.5740740740740741,0.892,0.7031684269038355,0.6666666666666666,0.3976510067114094,0.62,0.25842696629213485,0.5135135135135135,0.4583333333333333,0.6458333333333334,0.96,0.7738693467336684,0.2661290322580645,0.32823741007194246,0.575,0.8998041283712521,0.8370892018779342,0.6419284940411701,0.9396953467343674,0.8815418364149169
semeval2012,roberta-base,nce,mask,0.759493670886076,0.25185643564356436,0.6203208556149733,0.6201780415430267,0.6271929824561403,0.5925925925925926,0.912,0.7209560867148416,0.6666666666666666,0.438758389261745,0.6716666666666666,0.2808988764044944,0.6216216216216216,0.5416666666666666,0.5833333333333334,0.98,0.7638190954773869,0.26411290322580644,0.3516187050359712,0.61,0.9142684948018682,0.8577464788732394,0.6706392199349945,0.9408777909160465,0.8987778125979317
semeval2012,roberta-base,nce,average,0.7721518987341772,0.2524752475247525,0.5909090909090909,0.599406528189911,0.5570175438596491,0.5625,0.88,0.6864924958310172,0.6557377049180327,0.39429530201342283,0.6383333333333333,0.25842696629213485,0.5135135135135135,0.5,0.6041666666666666,0.96,0.7537688442211056,0.25,0.31384892086330934,0.58,0.8998041283712521,0.8272300469483568,0.6462621885157096,0.9412951241566391,0.8752742087120025
